rdf-schema#label,birthDate,birthYear,deathDate,occupation_label,occupation,Occupation_g,Actor,Politician,Athlete,deathCause_label,deathCause,Cause_of_Death_cat,title
Edward Knight (American actor),1927-07-10,1927-01-01T00:00:00+02:00,2009-10-10,,,['actor'],True,False,False,,,,
Joe Robinson (actor),1927-05-31,1927-01-01T00:00:00+02:00,,Joe_Robinson_(actor)__1,http://dbpedia.org/resource/Joe_Robinson_(actor)__1,['actor'],True,False,False,,,,
John Agitation,1927-07-24,1927-01-01T00:00:00+02:00,,{Politician|Comedian|Storytelling},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Storytelling},['politician'],False,True,True,,,,
John Burton (politician),1927-11-27,1927-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
John Carson (actor),1927-02-28,1927-01-01T00:00:00+02:00,,{Actor|John_Carson_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/John_Carson_(actor)__1},['actor'],True,False,False,,,,
John Lee (British Labour politician),1927-08-13,1927-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
John MacLean (Ontario politician),1927-01-01T00:00:00+02:00,1927-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Barbara Cook,1927-10-25,1927-01-01T00:00:00+02:00,,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,False,,,,
Barry Foster (actor),1927-08-21,1927-01-01T00:00:00+02:00,2002-02-11,Barry_Foster_(actor)__1,http://dbpedia.org/resource/Barry_Foster_(actor)__1,['actor'],True,False,False,Myocardial infarction,http://dbpedia.org/resource/Myocardial_infarction,Disease,
Anil Moonesinghe,1927-02-15,1927-01-01T00:00:00+02:00,2002-12-08,{Trade union|Politician},{http://dbpedia.org/resource/Trade_union|http://dbpedia.org/resource/Politician},"['politician', 'sing']",False,True,True,,,,
Ann Gillis,1927-02-12,1927-01-01T00:00:00+02:00,,{Actor|Ann_Gillis__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Ann_Gillis__1},['actor'],True,False,False,,,,
Anne Armstrong,1927-12-27,1927-01-01T00:00:00+02:00,2008-07-30,{Business|Politician|Diplomat},{http://dbpedia.org/resource/Business|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Diplomat},['politician'],False,True,True,,,,
Arne Lie (politician),1927-01-16,1927-01-01T00:00:00+02:00,1996-09-25,,,['politician'],False,True,True,,,,
Arnold Brown (Manitoba politician),1927-04-27,1927-01-01T00:00:00+02:00,1994-03-05,,,['politician'],False,True,True,,,,
Olga San Juan,1927-03-16,1927-01-01T00:00:00+02:00,2009-01-03,{Dance|Actor|Comedian|Olga_San_Juan__1},{http://dbpedia.org/resource/Dance|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Olga_San_Juan__1},['actor'],True,False,False,,,,
Pat Callaghan (politician),1927-01-01T00:00:00+02:00,1927-01-01T00:00:00+02:00,2009-01-05,,,['politician'],False,True,True,,,,
Pat McCormick (actor),1927-06-30,1927-01-01T00:00:00+02:00,2005-07-29,,,['actor'],True,False,False,,,,
Ralph Anderson (politician),1927-11-02,1927-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Ramon Revilla Sr.,1927-03-08,1927-01-01T00:00:00+02:00,,{Actor|Politician},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Politician},"['actor', 'politician']",True,True,True,,,,
Peter Philips (politician),1927-05-12,1927-01-01T00:00:00+02:00,2009-05-11,,,['politician'],False,True,True,,,,
Philip Hurlic,1927-12-20,1927-01-01T00:00:00+02:00,,{Child actor|Philip_Hurlic__1},{http://dbpedia.org/resource/Child_actor|http://dbpedia.org/resource/Philip_Hurlic__1},['actor'],True,False,False,,,,
Phyllis Kirk,1927-09-18,1927-01-01T00:00:00+02:00,2006-10-19,{Actor|Phyllis_Kirk__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Phyllis_Kirk__1},['actor'],True,False,False,,,,
Pierre Zimmer,1927-12-15,1927-01-01T00:00:00+02:00,2010-05-22,{Actor|Film director|Pierre_Zimmer__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Pierre_Zimmer__1},['actor'],True,False,False,,,,
Al Martino,1927-10-07,1927-01-01T00:00:00+02:00,2009-10-13,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,False,,,,
Alan Hunt (politician),1927-10-09,1927-01-01T00:00:00+02:00,2013-07-19,,,['politician'],False,True,True,,,,
Alan King (comedian),1927-12-26,1927-01-01T00:00:00+02:00,2004-05-09,{Actor|Comedian|Alan_King_(comedian)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Alan_King_(comedian)__1},['actor'],True,False,False,Lung cancer,http://dbpedia.org/resource/Lung_cancer,Disease,
Richard Johnson (actor),1927-07-30,1927-01-01T00:00:00+02:00,,,,['actor'],True,False,False,,,,
Richard Long (actor),1927-12-17,1927-01-01T00:00:00+02:00,1974-12-21,Richard_Long_(actor)__1,http://dbpedia.org/resource/Richard_Long_(actor)__1,['actor'],True,False,False,Myocardial infarction,http://dbpedia.org/resource/Myocardial_infarction,Disease,
Robert Hoy,1927-04-03,1927-01-01T00:00:00+02:00,2010-02-08,{Stunt performer|Actor|Robert_Hoy__1},{http://dbpedia.org/resource/Stunt_performer|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Robert_Hoy__1},['actor'],True,False,False,,,,
Robert Kendall (actor),1927-06-26,1927-01-01T00:00:00+02:00,2009-11-12,,,['actor'],True,False,False,,,,
Robert Mosbacher,1927-03-11,1927-01-01T00:00:00+02:00,2010-01-24,{Senior management|Politician|Yacht},{http://dbpedia.org/resource/Senior_management|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Yacht},['politician'],False,True,True,,,,
Robert Shaw (British actor),1927-08-09,1927-01-01T00:00:00+02:00,1978-08-28,Robert_Shaw_(British_actor)__1,http://dbpedia.org/resource/Robert_Shaw_(British_actor)__1,['actor'],True,False,False,Myocardial infarction,http://dbpedia.org/resource/Myocardial_infarction,Disease,
Suzanne Dalbert,1927-05-12,1927-01-01T00:00:00+02:00,1970-12-31,{Actor|Suzanne_Dalbert__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Suzanne_Dalbert__1},['actor'],True,False,False,,,,
T. Kanakam,1927-01-01T00:00:00+02:00,1927-01-01T00:00:00+02:00,,{Actor|Singing|T._Kanakam__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing|http://dbpedia.org/resource/T._Kanakam__1},"['actor', 'sing']",True,False,False,,,,
Tadeusz Łomnicki,1927-07-18,1927-01-01T00:00:00+02:00,1992-02-22,{Actor|Tadeusz_%C5%81omnicki__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Tadeusz_%C5%81omnicki__1},['actor'],True,False,False,,,,
Tauno Söder,1927-01-13,1927-01-01T00:00:00+02:00,2009-05-02,{Actor|Tauno_S%C3%B6der__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Tauno_S%C3%B6der__1},['actor'],True,False,False,,,,
Ted Gray (politician),1927-09-03,1927-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
David Farquhar (politician),1927-03-03,1927-01-01T00:00:00+02:00,2009-06-22,,,['politician'],False,True,True,,,,
David Holt (actor),1927-08-14,1927-01-01T00:00:00+02:00,2003-11-15,,,['actor'],True,False,False,,,,
Debi Prasad Pal,1927-11-01,1927-01-01T00:00:00+02:00,,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,True,,,,
George Assang,1927-01-01T00:00:00+02:00,1927-01-01T00:00:00+02:00,1997-01-01T00:00:00+02:00,{Actor|Singing},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Singing},"['actor', 'sing']",True,False,False,,,,
George C. Scott,1927-10-18,1927-01-01T00:00:00+02:00,1999-09-22,{Actor|Film director|Film producer|George_C._Scott__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Film_producer|http://dbpedia.org/resource/George_C._Scott__1},['actor'],True,False,False,Abdominal aortic aneurysm,http://dbpedia.org/resource/Abdominal_aortic_aneurysm,Disease,
George Plimpton,1927-03-18,1927-01-01T00:00:00+02:00,2003-09-25,{Actor|Journalist|Writer|Literary editor|George_Plimpton__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Journalist|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Literary_editor|http://dbpedia.org/resource/George_Plimpton__1},['actor'],True,False,False,,,,
Gerald Flood,1927-04-21,1927-01-01T00:00:00+02:00,1989-04-12,{Actor|Gerald_Flood__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Gerald_Flood__1},['actor'],True,False,False,Myocardial infarction,http://dbpedia.org/resource/Myocardial_infarction,Disease,
Gerry Reynolds (British politician),1927-07-17,1927-01-01T00:00:00+02:00,1969-06-07,,,['politician'],False,True,True,,,,
Gillian Raine,{1927-12-28|1964-12-28},{1927-01-01T00:00:00+02:00|1964-01-01T00:00:00+02:00},,{Actor|Gillian_Raine__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Gillian_Raine__1},['actor'],True,False,False,,,,
Giorgos Velentzas,1927-01-01T00:00:00+02:00,1927-01-01T00:00:00+02:00,,{Actor|Giorgos_Velentzas__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Giorgos_Velentzas__1},['actor'],True,False,False,,,,
Mizuho Suzuki,1927-10-23,1927-01-01T00:00:00+02:00,,{Actor|Mizuho_Suzuki__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Mizuho_Suzuki__1},['actor'],True,False,False,,,,
Bernard Fox (actor),1927-05-11,1927-01-01T00:00:00+02:00,,{Actor|Bernard_Fox_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Bernard_Fox_(actor)__1},['actor'],True,False,False,,,,
Betty Moschona,1927-03-07,1927-01-01T00:00:00+02:00,2006-12-06,{Actor|Betty_Moschona__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Betty_Moschona__1},['actor'],True,False,False,,,,
Bill Daily,1927-08-30,1927-01-01T00:00:00+02:00,,{Actor|Comedian|Bill_Daily__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Comedian|http://dbpedia.org/resource/Bill_Daily__1},['actor'],True,False,False,,,,
Billy McKinney (politician),1927-02-23,1927-01-01T00:00:00+02:00,2010-07-15,,,['politician'],False,True,True,,,,
Blas Ople,1927-02-03,1927-01-01T00:00:00+02:00,2003-12-14,{Journalist|Politician},{http://dbpedia.org/resource/Journalist|http://dbpedia.org/resource/Politician},['politician'],False,True,True,,,,
Bob Elliott (Alberta politician),1927-10-15,,2013-10-14,,,['politician'],False,True,True,,,,
Bob Fosse,1927-06-23,1927-01-01T00:00:00+02:00,1987-09-23,{Dance|Actor|Screenwriter|Choreography|Theatre director|Bob_Fosse__1},{http://dbpedia.org/resource/Dance|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Screenwriter|http://dbpedia.org/resource/Choreography|http://dbpedia.org/resource/Theatre_director|http://dbpedia.org/resource/Bob_Fosse__1},['actor'],True,False,False,Myocardial infarction,http://dbpedia.org/resource/Myocardial_infarction,Disease,
Bob Mitchell (British politician),1927-08-22,1927-01-01T00:00:00+02:00,2003-09-18,,,['politician'],False,True,True,,,,
Bob Price (Texas politician),1927-09-07,1927-01-01T00:00:00+02:00,2004-08-24,Ranch,http://dbpedia.org/resource/Ranch,['politician'],False,True,True,,,,
Brock Peters,1927-07-02,1927-01-01T00:00:00+02:00,2005-08-23,{Actor|Brock_Peters__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Brock_Peters__1},['actor'],True,False,False,Pancreatic cancer,http://dbpedia.org/resource/Pancreatic_cancer,Disease,
Bruce Webster (Australian politician),1927-08-13,1927-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Bud Brown (politician),1927-06-18,1927-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Buff Cobb,1927-10-19,1927-01-01T00:00:00+02:00,2010-07-12,{Actor|Buff_Cobb__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Buff_Cobb__1},['actor'],True,False,False,,,,
Victor Wong (actor born 1927),1927-07-30,1927-01-01T00:00:00+02:00,2001-09-12,Victor_Wong_(actor_born_1927)__1,http://dbpedia.org/resource/Victor_Wong_(actor_born_1927)__1,['actor'],True,False,False,,,,
Walter Brown (actor),1927-02-09,1927-01-01T00:00:00+02:00,2013-10-31,Walter_Brown_(actor)__1,http://dbpedia.org/resource/Walter_Brown_(actor)__1,['actor'],True,False,False,,,,
Wandjuk Marika,1927-01-01T00:00:00+02:00,1927-01-01T00:00:00+02:00,1987-01-01T00:00:00+02:00,{Actor|Composer|Painting|Wandjuk_Marika__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Composer|http://dbpedia.org/resource/Painting|http://dbpedia.org/resource/Wandjuk_Marika__1},['actor'],True,False,False,,,,
Jean Speegle Howard,1927-01-31,1927-01-01T00:00:00+02:00,2000-09-02,{Actor|Jean_Speegle_Howard__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jean_Speegle_Howard__1},['actor'],True,False,False,,,,
Jeannette Charles,1927-10-15,1927-01-01T00:00:00+02:00,,{Actor|Jeannette_Charles__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jeannette_Charles__1},['actor'],True,False,False,,,,
Jerry Haynes,1927-01-31,1927-01-01T00:00:00+02:00,2011-09-26,{Actor|Jerry_Haynes__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jerry_Haynes__1},['actor'],True,False,False,,,,
Jim Callaghan (Lancashire politician),1927-01-28,1927-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Jim Weaver (Oregon politician),1927-08-08,1927-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Joan Howard Maurer,1927-04-02,1927-01-01T00:00:00+02:00,,{Actor|Writer},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Writer},['actor'],True,False,False,,,,
Alice Nunn,1927-10-27,1927-01-01T00:00:00+02:00,1988-07-01,{Actor|Alice_Nunn__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Alice_Nunn__1},['actor'],True,False,False,,,,
Alicia Vergel,{1927-01-01T00:00:00+02:00|1927-06-07},1927-01-01T00:00:00+02:00,{1992-01-01T00:00:00+02:00|1992-05-20},{Actor|Alicia_Vergel__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Alicia_Vergel__1},['actor'],True,False,False,,,,
André Cools,1927-08-01,1927-01-01T00:00:00+02:00,1991-07-18,{Politician|Andr%C3%A9_Cools__1},{http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Andr%C3%A9_Cools__1},['politician'],False,True,True,,,,
Leo Jokela,1927-01-24,1927-01-01T00:00:00+02:00,1975-05-11,{Actor|Leo_Jokela__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Leo_Jokela__1},['actor'],True,False,False,,,,
Leon Lissek,1927-01-01T00:00:00+02:00,1927-01-01T00:00:00+02:00,,{Actor|Leon_Lissek__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Leon_Lissek__1},['actor'],True,False,False,,,,
Lisa Lu,1927-01-19,1927-01-01T00:00:00+02:00,,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,False,,,,
Fe Amorsolo,{1927-01-01T00:00:00+02:00|1927-01-27},1927-01-01T00:00:00+02:00,,{Actor|Fe_Amorsolo__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Fe_Amorsolo__1},['actor'],True,False,False,,,,
Fenella Fielding,1927-11-17,1927-01-01T00:00:00+02:00,,{Actor|Fenella_Fielding__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Fenella_Fielding__1},['actor'],True,False,False,,,,
Fernando Torres (actor),1927-11-14,1927-01-01T00:00:00+02:00,2008-09-04,,,['actor'],True,False,False,,,,
François Guérin,1927-12-12,1927-01-01T00:00:00+02:00,2003-10-26,{Actor|Fran%C3%A7ois_Gu%C3%A9rin__1|Fran%C3%A7ois_Gu%C3%A9rin__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Fran%C3%A7ois_Gu%C3%A9rin__1|http://dbpedia.org/resource/Fran%C3%A7ois_Gu%C3%A9rin__2},['actor'],True,False,False,,,,
Francis Carr (Ohio politician),1927-02-12,,1993-04-23,,,['politician'],False,True,True,,,,
Francis Matthews (actor),1927-09-02,1927-01-01T00:00:00+02:00,,Francis_Matthews_(actor)__1,http://dbpedia.org/resource/Francis_Matthews_(actor)__1,['actor'],True,False,False,,,,
Frank Miller (politician),1927-05-14,1927-01-01T00:00:00+02:00,2000-07-21,,,['politician'],False,True,True,,,,
Max Fischer (politician),1927-05-06,1927-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Meg Johnson,{1927-07-30|1936-09-30},{1927-01-01T00:00:00+02:00|1936-01-01T00:00:00+02:00},,{Actor|Meg_Johnson__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Meg_Johnson__1},['actor'],True,False,False,,,,
Nityanand Swami (politician),1927-12-27,1927-01-01T00:00:00+02:00,2012-12-12,,,['politician'],False,True,True,,,,
Noel Davis,1927-03-01,1927-01-01T00:00:00+02:00,2002-11-24,{Actor|Noel_Davis__1|Noel_Davis__2},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Noel_Davis__1|http://dbpedia.org/resource/Noel_Davis__2},['actor'],True,False,False,,,,
Hugh Casey (politician),1927-05-24,1927-01-01T00:00:00+02:00,2013-03-10,,,['politician'],False,True,True,,,,
Hugo Schiltz,1927-10-27,1927-01-01T00:00:00+02:00,2006-08-05,{Lawyer|Politician|Hugo_Schiltz__1},{http://dbpedia.org/resource/Lawyer|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Hugo_Schiltz__1},['politician'],False,True,True,,,,
Charles Warren (California politician),1927-04-26,1927-01-01T00:00:00+02:00,,{Lawyer|Politician|Charles_Warren_(California_politician)__1},{http://dbpedia.org/resource/Lawyer|http://dbpedia.org/resource/Politician|http://dbpedia.org/resource/Charles_Warren_(California_politician)__1},['politician'],False,True,True,,,,
Charlotte Kerr,1927-05-29,1927-01-01T00:00:00+02:00,2011-12-28,{Actor|Film director|Journalist|Writer|Film producer|Charlotte_Kerr__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Film_director|http://dbpedia.org/resource/Journalist|http://dbpedia.org/resource/Writer|http://dbpedia.org/resource/Film_producer|http://dbpedia.org/resource/Charlotte_Kerr__1},['actor'],True,False,False,,,,
Chuck Mitchell,1927-11-28,1927-01-01T00:00:00+02:00,1992-06-22,{Actor|Chuck_Mitchell__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Chuck_Mitchell__1},['actor'],True,False,False,,,,
Claude Gensac,1927-03-01,1927-01-01T00:00:00+02:00,,{Actor|Claude_Gensac__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Claude_Gensac__1},['actor'],True,False,False,,,,
Cleo Laine,1927-10-28,1927-01-01T00:00:00+02:00,,Actor,http://dbpedia.org/resource/Actor,['actor'],True,False,False,,,,
Sada Thompson,1927-09-27,1927-01-01T00:00:00+02:00,2011-05-04,{Actor|Sada_Thompson__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Sada_Thompson__1},['actor'],True,False,False,,,,
Abdul Ghafoor Ahmed,1927-06-26,1927-01-01T00:00:00+02:00,2012-12-26,{Author|Politician},{http://dbpedia.org/resource/Author|http://dbpedia.org/resource/Politician},['politician'],False,True,True,,,,
Adamu Atta,1927-10-18,,2014-05-01,Civil_Servant_cum_Politician,http://dbpedia.org/resource/Civil_Servant_cum_Politician,['politician'],False,True,True,,,,
Ahmad Ibrahim (politician),1927-01-01T00:00:00+02:00,1927-01-01T00:00:00+02:00,1962-08-21,,,['politician'],False,True,True,,,,
Carl Stokes,1927-06-21,1927-01-01T00:00:00+02:00,1996-04-03,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,True,,,,
Carl Switzer,1927-08-07,1927-01-01T00:00:00+02:00,1959-01-21,{Dog breeding|Actor|Carl_Switzer__1},{http://dbpedia.org/resource/Dog_breeding|http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Carl_Switzer__1},['actor'],True,False,False,Ballistic trauma,http://dbpedia.org/resource/Ballistic_trauma,,
Carlos Romero (actor),1927-02-15,1927-01-01T00:00:00+02:00,2007-06-21,{Television|Carlos_Romero_(actor)__1},{http://dbpedia.org/resource/Television|http://dbpedia.org/resource/Carlos_Romero_(actor)__1},['actor'],True,False,False,,,,
Carol Brewster,1927-02-25,1927-01-01T00:00:00+02:00,,{Actor|Carol_Brewster__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Carol_Brewster__1},['actor'],True,False,False,,,,
Cecil Smith (Canadian politician),1927-06-23,1927-01-01T00:00:00+02:00,1988-04-24,,,['politician'],False,True,True,,,,
Chao-Li Chi,1927-04-05,1927-01-01T00:00:00+02:00,2010-10-16,{Actor|Chao-Li_Chi__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Chao-Li_Chi__1},['actor'],True,False,False,,,,
Werner Kreindl,1927-10-20,1927-01-01T00:00:00+02:00,1992-06-06,{Actor|Werner_Kreindl__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Werner_Kreindl__1},['actor'],True,False,False,,,,
William Hickey (actor),1927-09-19,1927-01-01T00:00:00+02:00,1997-06-29,William_Hickey_(actor)__1,http://dbpedia.org/resource/William_Hickey_(actor)__1,['actor'],True,False,False,,,,
William Knox (Queensland politician),1927-01-01T00:00:00+02:00,1927-01-01T00:00:00+02:00,2001-01-01T00:00:00+02:00,,,['politician'],False,True,True,,,,
William Redfield (actor),1927-01-26,1927-01-01T00:00:00+02:00,1976-08-17,{Actor|William_Redfield_(actor)__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/William_Redfield_(actor)__1},['actor'],True,False,False,,,,
Dan Kemp,1927-11-29,1927-01-01T00:00:00+02:00,2000-01-11,{Actor|Dan_Kemp__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Dan_Kemp__1},['actor'],True,False,False,,,,
Daniel Ceccaldi,1927-07-25,1927-01-01T00:00:00+02:00,2003-03-27,{Actor|Presenter|Daniel_Ceccaldi__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Presenter|http://dbpedia.org/resource/Daniel_Ceccaldi__1},['actor'],True,False,False,,,,
John O'Connell (Dublin politician),1927-01-20,1927-01-01T00:00:00+02:00,2013-03-08,,,['politician'],False,True,True,,,,
John Pearce (actor),1927-11-07,1927-01-01T00:00:00+02:00,2000-04-29,{John_Pearce_(actor)__1|John_Pearce_(actor)__2},{http://dbpedia.org/resource/John_Pearce_(actor)__1|http://dbpedia.org/resource/John_Pearce_(actor)__2},['actor'],True,False,False,,,,
John Ryan (Irish politician),1927-06-17,1927-01-01T00:00:00+02:00,2014-04-03,,,['politician'],False,True,True,,,,
John W. Griffin (politician),1927-06-09,1927-01-01T00:00:00+02:00,2006-03-23,,,['politician'],False,True,True,,,,
John Woollam (politician),1927-08-14,1927-01-01T00:00:00+02:00,2006-02-01,,,['politician'],False,True,True,,,,
Jorge Batlle Ibáñez,1927-10-25,1927-01-01T00:00:00+02:00,,{Lawyer|Politician},{http://dbpedia.org/resource/Lawyer|http://dbpedia.org/resource/Politician},['politician'],False,True,True,,,,
Kate Harcourt,1927-06-16,1927-01-01T00:00:00+02:00,,{Actor|Kate_Harcourt__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Kate_Harcourt__1},['actor'],True,False,False,,,,
Ken Clark (actor),1927-06-04,1927-01-01T00:00:00+02:00,2009-06-01,,,['actor'],True,False,False,,,,
Ken Robinson (Canadian politician),1927-07-16,1927-01-01T00:00:00+02:00,1991-12-31,,,['politician'],False,True,True,,,,
Ken Sansom,1927-04-02,1927-01-01T00:00:00+02:00,2012-10-08,{Actor|Voice acting|Ken_Sansom__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Voice_acting|http://dbpedia.org/resource/Ken_Sansom__1},['actor'],True,False,False,Stroke,http://dbpedia.org/resource/Stroke,Disease,
Kenneth Waller,1927-11-05,1927-01-01T00:00:00+02:00,2000-01-28,{Actor|Kenneth_Waller__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Kenneth_Waller__1},['actor'],True,False,False,,,,
Kerry Norton-Smyser,1927-12-07,1927-01-01T00:00:00+02:00,,{Actor|Kerry_Norton-Smyser__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Kerry_Norton-Smyser__1},['actor'],True,False,False,,,,
J. V. Somayajulu,{1928-04-27|1928-06-30},1928-01-01T00:00:00+02:00,{2004-04-24|2004-04-27},{Actor|J._V._Somayajulu__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/J._V._Somayajulu__1},['actor'],True,False,False,,,,
Jack Donner,1928-10-29,1928-01-01T00:00:00+02:00,,{Actor|Jack_Donner__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Jack_Donner__1},['actor'],True,False,False,,,,
Jack Evans (Australian politician),1928-11-28,1928-01-01T00:00:00+02:00,2009-10-02,,,['politician'],False,True,True,,,,
Jack Robertson (politician),1928-11-11,1928-01-01T00:00:00+02:00,1971-12-07,,,['politician'],False,True,True,,,,
Jack Thompson (politician),1928-08-27,1928-01-01T00:00:00+02:00,2011-01-01T00:00:00+02:00,,,['politician'],False,True,True,,,,
Jacquie Lyn,1928-09-03,1928-01-01T00:00:00+02:00,2002-03-21,{Child actor|Jacquie_Lyn__1},{http://dbpedia.org/resource/Child_actor|http://dbpedia.org/resource/Jacquie_Lyn__1},['actor'],True,False,False,Death by natural causes,http://dbpedia.org/resource/Death_by_natural_causes,Natural,
Eric Lubbock 4th Baron Avebury,1928-09-29,1928-01-01T00:00:00+02:00,,Politician,http://dbpedia.org/resource/Politician,['politician'],False,True,True,,,,
Esma Agolli,1928-07-01,1928-01-01T00:00:00+02:00,2010-06-05,{Actor|Esma_Agolli__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Esma_Agolli__1},['actor'],True,False,False,,,,
Eugene Roche,1928-09-22,1928-01-01T00:00:00+02:00,2004-07-28,{Character actor|Eugene_Roche__1},{http://dbpedia.org/resource/Character_actor|http://dbpedia.org/resource/Eugene_Roche__1},['actor'],True,False,False,,,,
Eunice Muñoz,1928-07-30,1928-01-01T00:00:00+02:00,,{Actor|Eunice_Mu%C3%B1oz__1},{http://dbpedia.org/resource/Actor|http://dbpedia.org/resource/Eunice_Mu%C3%B1oz__1},['actor'],True,False,False,,,,
Thomas Atkinson (Wisconsin politician),1928-01-01T00:00:00+02:00,1928-01-01T00:00:00+02:00,1988-01-01T00:00:00+02:00,,,['politician'],False,True,True,,,,
Thomas Fennell (politician),1928-01-09,1928-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
Thurman Adams Jr.,1928-07-25,1928-01-01T00:00:00+02:00,2009-06-23,{Business|Politician},{http://dbpedia.org/resource/Business|http://dbpedia.org/resource/Politician},['politician'],False,True,True,,,,
Tom Chambers (politician),1928-07-07,1928-01-01T00:00:00+02:00,,,,['politician'],False,True,True,,,,
